Pattern,Frequency,Length,Support
HH,97,2,0.313915857605178
HHH,94,3,0.3042071197411003
HHHH,91,4,0.29449838187702265
LL,86,2,0.2783171521035599
MM,79,2,0.255663430420712
LLL,79,3,0.255663430420712
LLLL,73,4,0.23624595469255663
MMM,64,3,0.20711974110032363
MMMM,52,4,0.16828478964401294
LM,16,2,0.05177993527508091
ML,15,2,0.04854368932038835
LMM,11,3,0.03559870550161812
MML,10,3,0.032362459546925564
LMMM,10,4,0.032362459546925564
MLM,9,3,0.02912621359223301
MMML,9,4,0.02912621359223301
MH,8,2,0.025889967637540454
MLMM,8,4,0.025889967637540454
HM,7,2,0.022653721682847898
LLM,7,3,0.022653721682847898
