LatGrid,LonGrid,Count,Gi_star_z,Hotspot_Class
24,-82,363,5.819326038900466,Hot Spot (99%)
24,-81,52,7.475512482444888,Hot Spot (99%)
25,-98,152,-0.5846056493998124,Not Significant
25,-82,15,7.895927590638878,Hot Spot (99%)
25,-81,72116,3.0964076577500084,Hot Spot (99%)
26,-100,4,-0.7478414447884059,Not Significant
26,-99,352,-0.6424180809102096,Not Significant
26,-98,434,-0.7551223373544899,Not Significant
26,-83,624,6.809284856113644,Hot Spot (99%)
26,-82,2542,7.42374463827629,Hot Spot (99%)
26,-81,40122,6.14467045772804,Hot Spot (99%)
27,-100,186,-0.7365204536191736,Not Significant
27,-99,30,-0.6986336284343777,Not Significant
27,-98,943,-0.1515435823693503,Not Significant
27,-83,25889,4.603303936266904,Hot Spot (99%)
27,-82,1231,6.9022223660766695,Hot Spot (99%)
27,-81,4242,7.208971389186938,Hot Spot (99%)
28,-101,6,-0.8254751087229621,Not Significant
28,-100,618,-0.7569857025575656,Not Significant
28,-99,618,-0.6419619729609586,Not Significant
28,-98,569,-0.07187223402663455,Not Significant
28,-97,90,0.3372693171405535,Not Significant
28,-96,116,0.635906752807819,Not Significant
28,-83,6970,3.848946110222394,Hot Spot (99%)
28,-82,29134,2.6170952207846607,Hot Spot (99%)
28,-81,4688,6.004327830256715,Hot Spot (99%)
29,-105,9,-0.7315689580416601,Not Significant
29,-102,19,-0.9162313419870745,Not Significant
29,-101,87,-0.9080542658718538,Not Significant
29,-100,138,-0.6968356541507558,Not Significant
29,-99,6014,-0.52397896803261,Not Significant
29,-98,1039,0.25651438379495295,Not Significant
29,-97,1245,0.7204369950594736,Not Significant
29,-96,19325,-0.49305562506612927,Not Significant
29,-95,884,0.3366107995609332,Not Significant
29,-94,75,0.2768390881573547,Not Significant
29,-93,96,0.28372723049983684,Not Significant
29,-92,109,0.008755497310943612,Not Significant
29,-91,4532,-0.2904384531076349,Not Significant
29,-90,410,-0.11994885087058445,Not Significant
29,-86,33,-0.6118835387624817,Not Significant
29,-85,25,0.216903640986365,Not Significant
29,-84,14,1.3789278049189826,Not Significant
29,-83,2611,1.840865558589863,Hot Spot (90%)
29,-82,4563,2.29734057224146,Hot Spot (95%)
29,-81,175,3.5589409389263618,Hot Spot (99%)
30,-105,7,-0.9050487950502532,Not Significant
30,-104,10,-1.005397803415853,Not Significant
30,-103,64,-1.1167979937900434,Not Significant
30,-102,59,-1.1530834458666932,Not Significant
30,-101,58,-0.9561068918903947,Not Significant
30,-100,111,-0.6062049875403253,Not Significant
30,-99,410,0.0010881990554192054,Not Significant
30,-98,4946,0.4593036420616261,Not Significant
30,-97,688,1.0555369170731503,Not Significant
30,-96,2089,0.8719447727302596,Not Significant
30,-95,391,0.5228653491786099,Not Significant
30,-94,1818,-0.09014956752219593,Not Significant
30,-93,3936,-0.45128406505370217,Not Significant
30,-92,5486,-0.49305417402180474,Not Significant
30,-91,3777,-0.3616393136162075,Not Significant
30,-90,936,-0.3502057963953235,Not Significant
30,-89,951,-0.47899550104044003,Not Significant
30,-88,2258,-0.7903505609896666,Not Significant
30,-87,678,-0.7439164962528869,Not Significant
30,-86,1204,-0.8281061129062363,Not Significant
30,-85,1777,-0.18205393022565086,Not Significant
30,-84,251,0.2579812717729044,Not Significant
30,-83,339,1.1187976458576152,Not Significant
30,-82,6405,0.5917735371389099,Not Significant
31,-107,1432,-0.9451926405056397,Not Significant
31,-106,914,-1.009516013946473,Not Significant
31,-105,200,-1.0644063679280171,Not Significant
31,-104,349,-1.1621238621574954,Not Significant
31,-103,446,-1.2471550949041539,Not Significant
31,-102,644,-1.2666080978485756,Not Significant
31,-101,145,-1.1306191003316266,Not Significant
31,-100,92,-0.6503625199986328,Not Significant
31,-99,138,0.1700293714160712,Not Significant
31,-98,2108,0.9328064438454744,Not Significant
31,-97,687,1.1414736063596582,Not Significant
31,-96,549,0.7616611994472892,Not Significant
31,-95,330,0.19803838126551077,Not Significant
31,-94,234,-0.3176898312346156,Not Significant
31,-93,403,-0.44938427747998605,Not Significant
31,-92,140,-0.5042552997379881,Not Significant
31,-91,210,-0.5527867243114036,Not Significant
31,-90,365,-0.6761539451620338,Not Significant
31,-89,54,-0.7610610294881616,Not Significant
31,-88,186,-0.8864840328161341,Not Significant
31,-87,222,-0.37232852097320157,Not Significant
31,-86,225,-0.2800572892193625,Not Significant
31,-85,127,-0.19615531736806494,Not Significant
31,-84,286,-0.09031315123354926,Not Significant
31,-83,236,0.021508668919207975,Not Significant
31,-82,457,0.19391332088397656,Not Significant
31,-81,1,-0.2653326907073603,Not Significant
32,-118,5387,2.6000443278520042,Hot Spot (99%)
32,-117,913,1.7908889999158055,Hot Spot (90%)
32,-116,53,0.1928041769935203,Not Significant
32,-115,314,1.3168285035265466,Not Significant
32,-114,32,2.935198723032961,Hot Spot (99%)
32,-113,53,4.142982220811684,Hot Spot (99%)
32,-112,736,3.58549648619131,Hot Spot (99%)
32,-111,1242,2.3003142529277323,Hot Spot (95%)
32,-110,87,-0.16508632809125945,Not Significant
32,-109,760,-0.9842366903628169,Not Significant
32,-108,597,-0.9915218785460413,Not Significant
32,-107,215,-1.011700842387045,Not Significant
32,-106,84,-1.1225402351101437,Not Significant
32,-105,129,-1.2338891997638515,Not Significant
32,-104,374,-1.2778511002358588,Not Significant
32,-103,139,-1.3034402268010694,Not Significant
32,-102,534,-1.2972414752499617,Not Significant
32,-101,280,-1.0800244336341362,Not Significant
32,-100,178,-0.4566872962847881,Not Significant
32,-99,453,0.21580855911217267,Not Significant
32,-98,11677,0.2091275144342401,Not Significant
32,-97,17133,-0.06262436484913005,Not Significant
32,-96,826,0.8076866187052041,Not Significant
32,-95,1158,0.0033621117426168106,Not Significant
32,-94,741,-0.3600034973413203,Not Significant
32,-93,470,-0.6222496266397373,Not Significant
32,-92,333,-0.6386436920582443,Not Significant
32,-91,832,-0.6379384126591269,Not Significant
32,-90,423,-0.9075515120720913,Not Significant
32,-89,153,-0.9117644152637169,Not Significant
32,-88,106,-0.8777180937902204,Not Significant
