State,EventCount,AvgLat,AvgLon,Local_I,LISA_p,LISA_type
AL,9552,33.268349885992464,-86.71367474204355,0.026095634991569815,0.26,Not Significant
AR,16340,35.02724846988984,-92.43577214828642,0.030267190675132206,0.198,Not Significant
AZ,99682,33.50032592502157,-112.04608217932024,-0.036620995892986105,0.77,Not Significant
CA,156385,35.85840374348563,-119.6312452770854,-0.2728834809480903,0.976,Not Significant
CO,68969,39.50156658175412,-105.2449161938117,-0.10713070861915723,0.912,Not Significant
CT,20354,41.472531567750806,-72.89606776540238,-0.03520056974665453,0.694,Not Significant
DC,4673,38.89468628268778,-77.01907858784507,-0.055743636886869695,0.72,Not Significant
DE,8901,39.429717617009324,-75.56228316335243,-0.10243720591447802,0.798,Not Significant
FL,207708,27.138057338667746,-81.05836034537909,-0.4360430488639772,0.988,Not Significant
GA,36123,33.585925884976334,-84.09573305268111,-0.004585646049109309,0.558,Not Significant
HI,4,21.35577675,-157.933604,-0.02927902192596825,0.842,Not Significant
IA,14860,41.80038178660835,-93.1240234487887,0.04134729240967513,0.156,Not Significant
ID,17583,44.09402889319229,-115.75833339020646,0.007778172376277649,0.404,Not Significant
IL,72020,41.792431568119966,-88.00538151914746,-0.09627414864471384,0.836,Not Significant
IN,37143,40.19944168120507,-86.15443305387288,-0.0037241722010892373,0.552,Not Significant
KS,14564,38.53068647727273,-96.55171192859105,0.047880397919874536,0.142,Not Significant
KY,9231,37.939836292492686,-85.01690438641535,0.01848721338218112,0.282,Not Significant
LA,22749,30.398077828651807,-91.34545885186162,0.009572958159679673,0.374,Not Significant
MA,19200,42.315020218489586,-71.22218951401041,0.06183818009953552,0.256,Not Significant
MD,26051,39.188250695558715,-76.83665645004031,0.004607516845956314,0.498,Not Significant
ME,4770,44.21766844884696,-69.86134483375263,0.06125445780735493,0.206,Not Significant
MI,33902,42.69471187384225,-83.88466948206595,-0.00026002121646685956,0.49,Not Significant
MN,22573,45.33670030913038,-93.67696230766845,0.025219595727119976,0.2,Not Significant
MO,11764,38.66758347619857,-92.57611300034002,0.04419656896594659,0.122,Not Significant
MS,5046,32.603562736028536,-89.60013156262386,0.032520130076012975,0.224,Not Significant
MT,7796,46.765637490251414,-110.92419887981015,0.03394414945759686,0.19,Not Significant
NC,20133,35.57631584344112,-80.17052655575424,0.007455835563806137,0.39,Not Significant
ND,1185,47.52836197974683,-100.37828361434599,0.07509034641738543,0.038,LL (Cold Spot)
NE,5656,41.15451816407355,-97.96080702351485,0.0727659830867975,0.076,Not Significant
NH,3191,43.36160947539956,-71.46559368912567,0.08025106304834316,0.178,Not Significant
NJ,41030,40.435417967145995,-74.42684326168657,0.0753228290347582,0.198,Not Significant
NM,8864,34.727926660198555,-106.32276041031137,-0.033742261656055685,0.768,Not Significant
NV,6705,39.46342535913497,-117.69934807397465,-0.11123463228513565,0.864,Not Significant
NY,157261,41.16490023661302,-74.30396428768735,-0.23976584159509198,0.9,Not Significant
OH,36780,40.542989368814574,-82.8544882862969,-0.003298578333553136,0.472,Not Significant
OK,17428,35.45379287818453,-96.8634675041313,0.017453171678976656,0.266,Not Significant
OR,34362,44.420487580437694,-121.94589417280717,0.0008447268608453886,0.494,Not Significant
PA,129302,40.433477602566086,-77.0982029291349,-0.166663990425106,0.902,Not Significant
RI,5035,41.760352888579945,-71.46953646017874,0.0466713712539055,0.296,Not Significant
SC,13368,34.326473504114304,-81.14880824887791,7.782673723377413e-05,0.476,Not Significant
SD,3801,44.025405142067875,-99.71435451012893,0.08162832517276757,0.054,Not Significant
TN,11181,35.74786761327251,-86.31921203756373,0.03383492946362469,0.182,Not Significant
TX,91265,31.325599396855313,-97.24619451371281,-0.1384688709222262,0.946,Not Significant
UT,7045,40.35128986259758,-111.90302114464158,-0.007675709672131397,0.566,Not Significant
VA,36607,37.929514100417954,-77.73779527437375,-0.0008075413155647357,0.474,Not Significant
VT,1642,43.95712807673569,-72.77798673325213,0.02147703367368887,0.316,Not Significant
WA,35810,47.36114168098297,-121.99194419927395,-0.00014181975731742034,0.55,Not Significant
WI,19191,43.67223719529988,-89.00851571731542,-0.00022913739230624516,0.446,Not Significant
WV,4480,38.80208111875,-80.70654504129463,-0.020399128930774096,0.658,Not Significant
WY,4977,42.62650163371509,-107.55843757303597,0.019223346958273012,0.292,Not Significant
